Net Asset Value,NAV date,Fund Name
35.359,2024-05-29,SBI PSU Fund
37.61,2024-05-29,Bank of India Mid Small Cap Fund
33.0873,2024-05-29,HSBC Equity Savings Fund
196.428,2024-05-29,HDFC Focused 30 Fund
89.6503,2024-05-29,Nippon India Large Cap Fund
34.8308,2024-05-30,SBI PSU Fund
25.9987,2024-05-30,Kotak Equity Savings Fund
32.9526,2024-05-30,HSBC Equity Savings Fund
195.443,2024-05-30,HDFC Focused 30 Fund
88.9933,2024-05-30,Nippon India Large Cap Fund
31.8187,2024-05-30,ICICI Prudential Bharat 22 FOF
37.26,2024-05-30,Bank of India Mid Small Cap Fund
32.0575,2024-05-31,ICICI Prudential Bharat 22 FOF
37.66,2024-05-31,Bank of India Mid Small Cap Fund
33.1299,2024-05-31,HSBC Equity Savings Fund
35.0911,2024-05-31,SBI PSU Fund
89.4481,2024-05-31,Nippon India Large Cap Fund
26.0298,2024-05-31,Kotak Equity Savings Fund
195.867,2024-05-31,HDFC Focused 30 Fund
33.5149,2024-06-03,HSBC Equity Savings Fund
37.2651,2024-06-03,SBI PSU Fund
33.8948,2024-06-03,ICICI Prudential Bharat 22 FOF
26.3965,2024-06-03,Kotak Equity Savings Fund
199.984,2024-06-03,HDFC Focused 30 Fund
92.4271,2024-06-03,Nippon India Large Cap Fund
38.38,2024-06-03,Bank of India Mid Small Cap Fund
32.5074,2024-06-04,HSBC Equity Savings Fund
190.71,2024-06-04,HDFC Focused 30 Fund
35.85,2024-06-04,Bank of India Mid Small Cap Fund
86.3042,2024-06-04,Nippon India Large Cap Fund
25.6875,2024-06-04,Kotak Equity Savings Fund
32.1876,2024-06-04,SBI PSU Fund
30.241,2024-06-04,ICICI Prudential Bharat 22 FOF
196.838,2024-06-05,HDFC Focused 30 Fund
26.0204,2024-06-05,Kotak Equity Savings Fund
36.65,2024-06-05,Bank of India Mid Small Cap Fund
32.8379,2024-06-05,SBI PSU Fund
32.8973,2024-06-05,HSBC Equity Savings Fund
30.6417,2024-06-05,ICICI Prudential Bharat 22 FOF
89.1172,2024-06-05,Nippon India Large Cap Fund
37.61,2024-06-06,Bank of India Mid Small Cap Fund
33.9971,2024-06-06,SBI PSU Fund
90.1267,2024-06-06,Nippon India Large Cap Fund
33.2528,2024-06-06,HSBC Equity Savings Fund
31.3018,2024-06-06,ICICI Prudential Bharat 22 FOF
199.167,2024-06-06,HDFC Focused 30 Fund
26.1489,2024-06-06,Kotak Equity Savings Fund
33.5622,2024-06-07,HSBC Equity Savings Fund
34.594,2024-06-07,SBI PSU Fund
31.759,2024-06-07,ICICI Prudential Bharat 22 FOF
38.19,2024-06-07,Bank of India Mid Small Cap Fund
201.375,2024-06-07,HDFC Focused 30 Fund
91.8562,2024-06-07,Nippon India Large Cap Fund
26.3234,2024-06-07,Kotak Equity Savings Fund
26.4311,2024-06-10,Kotak Equity Savings Fund
34.619,2024-06-10,SBI PSU Fund
202.435,2024-06-10,HDFC Focused 30 Fund
38.54,2024-06-10,Bank of India Mid Small Cap Fund
31.9689,2024-06-10,ICICI Prudential Bharat 22 FOF
92.0097,2024-06-10,Nippon India Large Cap Fund
33.6668,2024-06-10,HSBC Equity Savings Fund
202.48,2024-06-11,HDFC Focused 30 Fund
33.8618,2024-06-11,HSBC Equity Savings Fund
